red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
tournament1/t1v2.py,tournament1/t3v4.py,1.0,1000,0,258,52,17
tournament1/t1v2.py,tournament1/t4v6.py,0.198,198,802,600,36,101
tournament1/t1v2.py,tournament1/t5v2.py,0.66,660,340,600,57,22
tournament1/t1v2.py,tournament1/t6v6.py,0.337,337,663,600,67,74
tournament1/t2v4.py,tournament1/t3v4.py,0.376,376,624,600,120,35
tournament1/t2v4.py,tournament1/t4v6.py,0.204,204,796,600,38,83
tournament1/t2v4.py,tournament1/t5v2.py,0.353,353,647,600,98,53
tournament1/t2v4.py,tournament1/t6v6.py,0.154,154,846,600,42,78
tournament1/t3v4.py,tournament1/t4v6.py,0.241,241,759,600,50,95
tournament1/t3v4.py,tournament1/t5v2.py,0.754,754,246,600,64,53
tournament1/t3v4.py,tournament1/t6v6.py,1.0,1000,0,595,61,65
tournament1/t4v6.py,tournament1/t5v2.py,0.868,868,132,600,121,32
tournament1/t4v6.py,tournament1/t6v6.py,0.0,0,1000,293,17,45
tournament1/t5v2.py,tournament1/t6v6.py,0.437,437,563,600,64,73
tournament1/t2v4.py,tournament1/t1v2.py,0.224,224,776,600,124,30
tournament1/t3v4.py,tournament1/t1v2.py,0.086,86,914,600,57,93
tournament1/t4v6.py,tournament1/t1v2.py,0.676,676,324,600,88,28
tournament1/t5v2.py,tournament1/t1v2.py,0.751,751,249,600,46,66
tournament1/t6v6.py,tournament1/t1v2.py,1.0,1000,0,452,51,43
tournament1/t3v4.py,tournament1/t2v4.py,1.0,1000,0,255,29,33
tournament1/t4v6.py,tournament1/t2v4.py,1.0,1000,0,261,41,16
tournament1/t5v2.py,tournament1/t2v4.py,1.0,1000,0,219,20,31
tournament1/t6v6.py,tournament1/t2v4.py,1.0,1000,0,174,25,8
tournament1/t4v6.py,tournament1/t3v4.py,0.592,592,408,600,98,42
tournament1/t5v2.py,tournament1/t3v4.py,1.0,1000,0,579,49,42
tournament1/t6v6.py,tournament1/t3v4.py,0.937,937,63,600,65,55
tournament1/t5v2.py,tournament1/t4v6.py,0.56,560,440,600,14,92
tournament1/t6v6.py,tournament1/t4v6.py,1.0,1000,0,425,57,24
tournament1/t6v6.py,tournament1/t5v2.py,1.0,1000,0,195,31,11
tournament1/t2v4.py,tournament1/t1v2.py,0.411,411,589,600,78,54
tournament1/t3v4.py,tournament1/t1v2.py,1.0,1000,0,398,63,21
tournament1/t4v6.py,tournament1/t1v2.py,1.0,1000,0,224,37,15
tournament1/t5v2.py,tournament1/t1v2.py,1.0,1000,0,597,84,45
tournament1/t6v6.py,tournament1/t1v2.py,0.971,971,29,600,75,18
